trial,name,scenario_id,days,seed,micro_step_fraction,secondary_probability_scale,raw_events,raw_events_per_day,research_sensor_events,research_sensor_events_per_day,daily_event_cv,compressed_state_intervals,representative_state_count,other_duration_ratio,state_transitions,adl_internal_state_changes,network_edges,semantic_checks_passed,pipeline_warning_count,calibration_score,output_hash
1,sparse_candidate,calibration_sparse_candidate,7,42,0.45,0.5,1657,236.71428571428572,1264,180.57142857142858,0.09045662270336288,366,15,0.1095353835978836,365,242,38,True,0,518.1071164021164,afecfaa4ff397a0fe0e925226fe0aab520f83a63ed6cb87ca37989c12e342171
2,balanced_candidate,calibration_balanced_candidate,7,42,0.75,0.8,1743,249.0,1332,190.28571428571428,0.20866977858367017,362,15,0.15666666666666668,361,237,42,True,0,461.9758333333333,df41fff8b54d57de5af79fda1ce4c8b8ff5aa93d04d556b888ce1dc0cd620209
3,final,calibration_final,7,42,1.0,1.0,2109,301.2857142857143,1616,230.85714285714286,0.1594624978226774,423,15,0.1658862433862434,422,334,44,True,0,610.7562566137566,779b2af0e657b73ef99b12ed56eb70ad9a79371751859d8e4d528f824477c1da
